quote_no,quote_date,fiscal_year,customer_no,salesperson_code,line_no,item_no,item_description,item_category_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct,status
QT00022,2022-06-30,F 2022,C0035,LT,20000,1960-S,"NAIROBI Guest Chair, green",CHAIR,10,20273.21,202732.1,165098.24,37633.86,18.56,Expired
QT00022,2022-06-30,F 2022,C0035,LT,30000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,8,27945.83,223566.64,147604.26,75962.38,33.98,Converted
QT00022,2022-06-30,F 2022,C0035,LT,40000,1920-S,LUANDA Conference Table,TABLE,6,246452.52,1478715.12,964789.4,513925.72,34.75,Expired
QT00022,2022-06-30,F 2022,C0035,LT,50000,1936-S,ACCRA Round Table,TABLE,4,101957.49,407829.96,287389.24,120440.72,29.53,Converted
QT00023,2021-05-24,F 2021,C0001,JO,10000,1960-S,"NAIROBI Guest Chair, green",CHAIR,9,20870.26,187832.34,149272.97,38559.37,20.53,Converted
QT00023,2021-05-24,F 2021,C0001,JO,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,1,168074.49,168074.49,117983.86,50090.63,29.8,Open
QT00024,2020-10-23,F 2020,C0020,EH,10000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,20,43442.02,868840.4,579847.77,288992.63,33.26,Open
QT00024,2020-10-23,F 2020,C0020,EH,20000,1960-S,"NAIROBI Guest Chair, green",CHAIR,7,22101.88,154713.16,106278.6,48434.56,31.31,Open
QT00024,2020-10-23,F 2020,C0020,EH,30000,1952-S,"ABUJA Whiteboard, base",MISC,14,56086.96,785217.44,469152.47,316064.97,40.25,Open
QT00024,2020-10-23,F 2020,C0020,EH,40000,1952-S,"ABUJA Whiteboard, base",MISC,16,58331.75,933308.0,629232.15,304075.85,32.58,Expired
QT00025,2023-05-02,F 2023,C0007,JO,10000,1908-S,DUBAI Corner Desk,BENCH,18,146104.29,2629877.22,1636371.92,993505.3,37.78,Converted
QT00025,2023-05-02,F 2023,C0007,JO,20000,1984-S,MADRID Monitor Stand,MISC,1,10560.6,10560.6,7620.63,2939.97,27.84,Converted
QT00025,2023-05-02,F 2023,C0007,JO,30000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,4,145405.57,581622.28,438725.51,142896.77,24.57,Converted
QT00026,2024-05-31,F 2024,C0025,JO,10000,1988-S,"KAMPALA Guest Chair, red",CHAIR,11,24435.32,268788.52,187680.35,81108.17,30.18,Expired
QT00027,2022-05-14,F 2022,C0032,LT,10000,1920-S,LUANDA Conference Table,TABLE,18,221080.71,3979452.78,3021860.59,957592.19,24.06,Expired
QT00027,2022-05-14,F 2022,C0032,LT,20000,1936-S,ACCRA Round Table,TABLE,19,95582.66,1816070.54,1300525.9,515544.64,28.39,Converted
QT00027,2022-05-14,F 2022,C0032,LT,30000,1896-S,ADDIS ABABA Executive Desk,BENCH,17,210667.68,3581350.56,2090940.22,1490410.34,41.62,Open
QT00027,2022-05-14,F 2022,C0032,LT,40000,1968-S,OSLO Filing Cabinet,MISC,3,40849.2,122547.6,72540.49,50007.11,40.81,Converted
QT00027,2022-05-14,F 2022,C0032,LT,50000,EM-001,Executive Meeting Room Set,EM_COMMER,2,853246.03,1706492.06,988229.98,718262.08,42.09,Converted
QT00028,2024-09-26,F 2024,C0015,OF,10000,1936-S,ACCRA Round Table,TABLE,16,89506.65,1432106.4,973753.76,458352.64,32.01,Open
QT00029,2021-12-20,F 2021,C0029,OF,10000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,16,30951.01,495216.16,290328.49,204887.67,41.37,Converted
QT00030,2024-03-21,F 2024,C0024,JO,10000,1952-S,"ABUJA Whiteboard, base",MISC,13,48465.32,630049.16,454968.12,175081.04,27.79,Open
QT00030,2024-03-21,F 2024,C0024,JO,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,5,183202.06,916010.3,646257.3,269753.0,29.45,Converted
QT00030,2024-03-21,F 2024,C0024,JO,30000,2004-S,"LAGOS Executive Chair, grey",CHAIR,20,31749.23,634984.6,499522.0,135462.6,21.33,Converted
QT00030,2024-03-21,F 2024,C0024,JO,40000,1960-S,"NAIROBI Guest Chair, green",CHAIR,20,24786.08,495721.6,295442.07,200279.53,40.4,Converted
QT00030,2024-03-21,F 2024,C0024,JO,50000,1952-S,"ABUJA Whiteboard, base",MISC,10,58964.46,589644.6,391694.61,197949.99,33.57,Converted
QT00031,2022-02-07,F 2022,C0003,JO,10000,1928-S,DAKAR Meeting Table,TABLE,9,134922.66,1214303.94,908307.94,305996.0,25.2,Converted
QT00031,2022-02-07,F 2022,C0003,JO,20000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,14,155859.49,2182032.86,1470492.45,711540.41,32.61,Converted
QT00031,2022-02-07,F 2022,C0003,JO,30000,2004-S,"LAGOS Executive Chair, grey",CHAIR,14,34909.04,488726.56,328041.17,160685.39,32.88,Open
QT00031,2022-02-07,F 2022,C0003,JO,40000,1952-S,"ABUJA Whiteboard, base",MISC,10,54440.65,544406.5,376861.59,167544.91,30.78,Expired
QT00032,2025-01-01,F 2025,C0006,LT,10000,1960-S,"NAIROBI Guest Chair, green",CHAIR,15,22684.84,340272.6,213783.14,126489.46,37.17,Open
QT00032,2025-01-01,F 2025,C0006,LT,20000,2004-S,"LAGOS Executive Chair, grey",CHAIR,8,34926.34,279410.72,208300.11,71110.61,25.45,Converted
QT00032,2025-01-01,F 2025,C0006,LT,30000,1920-S,LUANDA Conference Table,TABLE,14,262309.21,3672328.94,2111175.64,1561153.3,42.51,Expired
QT00032,2025-01-01,F 2025,C0006,LT,40000,2008-S,"ACCRA Stacking Chair, blue",CHAIR,13,14366.41,186763.33,110225.81,76537.52,40.98,Converted
QT00032,2025-01-01,F 2025,C0006,LT,50000,1964-S,Guest Section 1,MISC,6,127359.43,764156.58,521179.04,242977.54,31.8,Open
QT00033,2023-05-21,F 2023,C0001,JO,10000,1920-S,LUANDA Conference Table,TABLE,8,209565.14,1676521.12,1353371.13,323149.99,19.28,Open
QT00033,2023-05-21,F 2023,C0001,JO,20000,1976-S,LONDON Bookcase,MISC,14,50064.76,700906.64,469977.18,230929.46,32.95,Open
QT00033,2023-05-21,F 2023,C0001,JO,30000,1980-S,"KISUMU Swivel Chair, red",CHAIR,10,33847.08,338470.8,183386.54,155084.26,45.82,Converted
QT00034,2023-11-22,F 2023,C0033,JO,10000,1928-S,DAKAR Meeting Table,TABLE,10,150637.0,1506370.0,953675.96,552694.04,36.69,Converted
QT00034,2023-11-22,F 2023,C0033,JO,20000,1920-S,LUANDA Conference Table,TABLE,13,237741.27,3090636.51,2227696.65,862939.86,27.92,Open
QT00034,2023-11-22,F 2023,C0033,JO,30000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,4,41206.24,164824.96,108365.49,56459.47,34.25,Expired
QT00034,2023-11-22,F 2023,C0033,JO,40000,1964-S,Guest Section 1,MISC,9,129067.8,1161610.2,856609.95,305000.25,26.26,Converted
QT00035,2020-01-31,F 2020,C0001,JO,10000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,19,27784.44,527904.36,347988.22,179916.14,34.08,Open
QT00035,2020-01-31,F 2020,C0001,JO,20000,1936-S,ACCRA Round Table,TABLE,18,96617.36,1739112.48,1138647.22,600465.26,34.53,Expired
QT00035,2020-01-31,F 2020,C0001,JO,30000,1980-S,"KISUMU Swivel Chair, red",CHAIR,20,30775.43,615508.6,406235.08,209273.52,34.0,Open
QT00035,2020-01-31,F 2020,C0001,JO,40000,1976-S,LONDON Bookcase,MISC,1,54877.53,54877.53,32209.9,22667.63,41.31,Open
QT00035,2020-01-31,F 2020,C0001,JO,50000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,14,27417.6,383846.4,254381.4,129465.0,33.73,Expired
QT00036,2024-02-04,F 2024,C0005,LT,10000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,6,27741.55,166449.3,108046.73,58402.57,35.09,Converted
QT00036,2024-02-04,F 2024,C0005,LT,20000,1988-S,"KAMPALA Guest Chair, red",CHAIR,16,28374.25,453988.0,272463.72,181524.28,39.98,Converted
QT00037,2020-04-08,F 2020,C0019,LT,10000,1900-S,CAIRO Writing Desk,BENCH,12,119875.65,1438507.8,852512.78,585995.02,40.74,Converted
QT00037,2020-04-08,F 2020,C0019,LT,20000,2008-S,"ACCRA Stacking Chair, blue",CHAIR,9,12625.17,113626.53,76611.74,37014.79,32.58,Open
QT00037,2020-04-08,F 2020,C0019,LT,30000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,18,24795.82,446324.76,348404.13,97920.63,21.94,Open
QT00037,2020-04-08,F 2020,C0019,LT,40000,2004-S,"LAGOS Executive Chair, grey",CHAIR,9,40667.61,366008.49,236894.47,129114.02,35.28,Converted
QT00037,2020-04-08,F 2020,C0019,LT,50000,1976-S,LONDON Bookcase,MISC,2,53969.6,107939.2,67523.13,40416.07,37.44,Expired
QT00038,2023-08-28,F 2023,C0012,JO,10000,1900-S,CAIRO Writing Desk,BENCH,5,100925.81,504629.05,415023.49,89605.56,17.76,Expired
QT00038,2023-08-28,F 2023,C0012,JO,20000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,5,24404.77,122023.85,91990.35,30033.5,24.61,Open
QT00038,2023-08-28,F 2023,C0012,JO,30000,1936-S,ACCRA Round Table,TABLE,15,106945.27,1604179.05,1105733.24,498445.81,31.07,Converted
QT00039,2023-10-29,F 2023,C0019,OF,10000,1976-S,LONDON Bookcase,MISC,3,44603.56,133810.68,104727.23,29083.45,21.73,Expired
QT00039,2023-10-29,F 2023,C0019,OF,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,7,204855.98,1433991.86,862399.95,571591.91,39.86,Open
QT00039,2023-10-29,F 2023,C0019,OF,30000,1920-S,LUANDA Conference Table,TABLE,6,211937.03,1271622.18,941585.38,330036.8,25.95,Open
QT00039,2023-10-29,F 2023,C0019,OF,40000,1964-S,Guest Section 1,MISC,18,151538.12,2727686.16,1699353.13,1028333.03,37.7,Converted
QT00040,2024-01-02,F 2024,C0029,OF,10000,1960-S,"NAIROBI Guest Chair, green",CHAIR,18,22914.43,412459.74,271916.4,140543.34,34.07,Expired
QT00040,2024-01-02,F 2024,C0029,OF,20000,1920-S,LUANDA Conference Table,TABLE,13,255516.79,3321718.27,2072731.98,1248986.29,37.6,Expired
QT00040,2024-01-02,F 2024,C0029,OF,30000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,7,45004.6,315032.2,203981.59,111050.61,35.25,Converted
QT00041,2022-10-27,F 2022,C0003,OF,10000,1956-S,Conference Bundle 1-6,MISC,9,337246.37,3035217.33,2000078.87,1035138.46,34.1,Open
QT00041,2022-10-27,F 2022,C0003,OF,20000,1964-S,Guest Section 1,MISC,10,156955.11,1569551.1,997390.8,572160.3,36.45,Expired
QT00041,2022-10-27,F 2022,C0003,OF,30000,1964-S,Guest Section 1,MISC,4,149603.25,598413.0,384841.68,213571.32,35.69,Converted
QT00041,2022-10-27,F 2022,C0003,OF,40000,1896-S,ADDIS ABABA Executive Desk,BENCH,16,167660.98,2682575.68,2037006.55,645569.13,24.07,Converted
QT00041,2022-10-27,F 2022,C0003,OF,50000,1960-S,"NAIROBI Guest Chair, green",CHAIR,14,20827.16,291580.24,193716.94,97863.3,33.56,Open
QT00042,2021-06-19,F 2021,C0030,JO,10000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,2,45322.24,90644.48,58397.85,32246.63,35.57,Open
QT00042,2021-06-19,F 2021,C0030,JO,20000,1908-S,DUBAI Corner Desk,BENCH,12,136313.53,1635762.36,1016719.64,619042.72,37.84,Converted
QT00042,2021-06-19,F 2021,C0030,JO,30000,1920-S,LUANDA Conference Table,TABLE,15,213839.83,3207597.45,2432719.71,774877.74,24.16,Converted
QT00043,2021-05-08,F 2021,C0014,JO,10000,1928-S,DAKAR Meeting Table,TABLE,4,158714.3,634857.2,370761.07,264096.13,41.6,Converted
QT00043,2021-05-08,F 2021,C0014,JO,20000,1900-S,CAIRO Writing Desk,BENCH,9,102567.97,923111.73,662642.71,260469.02,28.22,Converted
QT00043,2021-05-08,F 2021,C0014,JO,30000,1952-S,"ABUJA Whiteboard, base",MISC,19,58915.95,1119403.05,626119.96,493283.09,44.07,Expired
QT00044,2020-05-04,F 2020,C0022,LT,10000,2004-S,"LAGOS Executive Chair, grey",CHAIR,11,32309.2,355401.2,246819.61,108581.59,30.55,Converted
QT00044,2020-05-04,F 2020,C0022,LT,20000,1956-S,Conference Bundle 1-6,MISC,4,366001.83,1464007.32,911622.58,552384.74,37.73,Converted
QT00044,2020-05-04,F 2020,C0022,LT,30000,1980-S,"KISUMU Swivel Chair, red",CHAIR,13,29517.59,383728.67,276007.72,107720.95,28.07,Expired
QT00044,2020-05-04,F 2020,C0022,LT,40000,1964-S,Guest Section 1,MISC,20,132124.81,2642496.2,1976294.45,666201.75,25.21,Expired
QT00044,2020-05-04,F 2020,C0022,LT,50000,1936-S,ACCRA Round Table,TABLE,6,100081.87,600491.22,429249.13,171242.09,28.52,Expired
QT00045,2022-07-09,F 2022,C0014,OF,10000,1980-S,"KISUMU Swivel Chair, red",CHAIR,8,32825.94,262607.52,154971.14,107636.38,40.99,Converted
QT00045,2022-07-09,F 2022,C0014,OF,20000,1980-S,"KISUMU Swivel Chair, red",CHAIR,4,26632.26,106529.04,74321.12,32207.92,30.23,Converted
QT00045,2022-07-09,F 2022,C0014,OF,30000,1900-S,CAIRO Writing Desk,BENCH,13,126802.4,1648431.2,931760.89,716670.31,43.48,Open
QT00045,2022-07-09,F 2022,C0014,OF,40000,1964-S,Guest Section 1,MISC,7,140932.94,986530.58,730646.88,255883.7,25.94,Converted
QT00045,2022-07-09,F 2022,C0014,OF,50000,1908-S,DUBAI Corner Desk,BENCH,2,141439.91,282879.82,167723.34,115156.48,40.71,Converted
QT00046,2024-07-29,F 2024,C0002,JO,10000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,6,26968.95,161813.7,114054.16,47759.54,29.52,Expired
QT00047,2022-08-02,F 2022,C0015,JO,10000,1896-S,ADDIS ABABA Executive Desk,BENCH,4,175206.16,700824.64,535998.58,164826.06,23.52,Open
QT00047,2022-08-02,F 2022,C0015,JO,20000,1956-S,Conference Bundle 1-6,MISC,20,342556.0,6851120.0,5039415.88,1811704.12,26.44,Converted
QT00047,2022-08-02,F 2022,C0015,JO,30000,1952-S,"ABUJA Whiteboard, base",MISC,16,57450.98,919215.68,539148.14,380067.54,41.35,Open
QT00047,2022-08-02,F 2022,C0015,JO,40000,1908-S,DUBAI Corner Desk,BENCH,10,120282.77,1202827.7,867077.83,335749.87,27.91,Open
QT00048,2025-01-12,F 2025,C0001,JO,10000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,11,151896.32,1670859.52,1258026.9,412832.62,24.71,Converted
QT00048,2025-01-12,F 2025,C0001,JO,20000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,17,29245.2,497168.4,316545.56,180622.84,36.33,Converted
QT00049,2023-08-06,F 2023,C0021,JO,10000,1980-S,"KISUMU Swivel Chair, red",CHAIR,11,28985.11,318836.21,229046.74,89789.47,28.16,Expired
QT00049,2023-08-06,F 2023,C0021,JO,20000,1920-S,LUANDA Conference Table,TABLE,4,238928.99,955715.96,602011.42,353704.54,37.01,Open
QT00049,2023-08-06,F 2023,C0021,JO,30000,1952-S,"ABUJA Whiteboard, base",MISC,1,59093.67,59093.67,32936.6,26157.07,44.26,Converted
QT00049,2023-08-06,F 2023,C0021,JO,40000,1968-S,OSLO Filing Cabinet,MISC,1,40692.6,40692.6,24249.22,16443.38,40.41,Expired
QT00049,2023-08-06,F 2023,C0021,JO,50000,1976-S,LONDON Bookcase,MISC,19,52628.06,999933.14,705659.74,294273.4,29.43,Expired
QT00050,2022-06-11,F 2022,C0029,JO,10000,1896-S,ADDIS ABABA Executive Desk,BENCH,13,199038.42,2587499.46,1511250.66,1076248.8,41.59,Open
QT00051,2021-09-04,F 2021,C0012,JO,10000,1964-S,Guest Section 1,MISC,3,156761.74,470285.22,292833.18,177452.04,37.73,Expired
QT00051,2021-09-04,F 2021,C0012,JO,20000,1976-S,LONDON Bookcase,MISC,10,56339.39,563393.9,335361.44,228032.46,40.47,Converted
QT00051,2021-09-04,F 2021,C0012,JO,30000,2004-S,"LAGOS Executive Chair, grey",CHAIR,13,40039.43,520512.59,334361.39,186151.2,35.76,Expired
QT00052,2020-03-26,F 2020,C0021,LT,10000,1908-S,DUBAI Corner Desk,BENCH,1,126157.36,126157.36,84377.45,41779.91,33.12,Converted
QT00052,2020-03-26,F 2020,C0021,LT,20000,1988-S,"KAMPALA Guest Chair, red",CHAIR,14,22482.06,314748.84,242460.31,72288.53,22.97,Open
QT00052,2020-03-26,F 2020,C0021,LT,30000,1980-S,"KISUMU Swivel Chair, red",CHAIR,18,29075.54,523359.72,379666.87,143692.85,27.46,Converted
QT00052,2020-03-26,F 2020,C0021,LT,40000,1896-S,ADDIS ABABA Executive Desk,BENCH,13,202381.6,2630960.8,1741979.52,888981.28,33.79,Converted
QT00053,2023-02-11,F 2023,C0008,LT,10000,1908-S,DUBAI Corner Desk,BENCH,19,135064.22,2566220.18,1578903.51,987316.67,38.47,Converted
QT00053,2023-02-11,F 2023,C0008,LT,20000,1928-S,DAKAR Meeting Table,TABLE,16,138867.27,2221876.32,1611062.39,610813.93,27.49,Open
QT00053,2023-02-11,F 2023,C0008,LT,30000,1960-S,"NAIROBI Guest Chair, green",CHAIR,19,20892.99,396966.81,291550.1,105416.71,26.56,Open
QT00053,2023-02-11,F 2023,C0008,LT,40000,1956-S,Conference Bundle 1-6,MISC,19,373703.09,7100358.71,4963802.92,2136555.79,30.09,Open
QT00053,2023-02-11,F 2023,C0008,LT,50000,1936-S,ACCRA Round Table,TABLE,8,87439.73,699517.84,496551.47,202966.37,29.02,Expired
QT00054,2022-07-19,F 2022,C0027,JO,10000,1964-S,Guest Section 1,MISC,17,126219.64,2145733.88,1597539.33,548194.55,25.55,Expired
QT00054,2022-07-19,F 2022,C0027,JO,20000,1980-S,"KISUMU Swivel Chair, red",CHAIR,1,27707.65,27707.65,19133.19,8574.46,30.95,Open
QT00054,2022-07-19,F 2022,C0027,JO,30000,1964-S,Guest Section 1,MISC,19,129566.27,2461759.13,1633055.87,828703.26,33.66,Open
