entry_no,posting_date,fiscal_year,document_type,document_no,line_no,customer_no,salesperson_code,item_no,item_description,item_category_code,location_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct
37,2022-09-06,F 2022,Sales Invoice,SI103216,20000,C0015,CM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,10,28252.19,282521.9,160527.8,121994.1,43.18
38,2022-09-06,F 2022,Sales Invoice,SI103216,30000,C0015,CM,1928-S,DAKAR Meeting Table,TABLE,NBI,9,152480.15,1372321.35,851132.79,521188.56,37.98
39,2022-09-06,F 2022,Sales Invoice,SI103216,40000,C0015,CM,1980-S,"KISUMU Swivel Chair, red",CHAIR,,2,33978.12,67956.24,39604.98,28351.26,41.72
40,2022-09-06,F 2022,Sales Invoice,SI103216,50000,C0015,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,4,25310.08,101240.32,69500.12,31740.2,31.35
41,2021-10-13,F 2022,Sales Invoice,SI103217,10000,C0034,AO,1952-S,"ABUJA Whiteboard, base",MISC,,8,54868.33,438946.64,275372.96,163573.68,37.27
42,2021-10-13,F 2022,Sales Invoice,SI103217,20000,C0034,AO,1936-S,ACCRA Round Table,TABLE,KSM,8,103248.42,825987.36,591557.84,234429.52,28.38
43,2021-10-13,F 2022,Sales Invoice,SI103217,30000,C0034,AO,1968-S,OSLO Filing Cabinet,MISC,NBI,2,35344.88,70689.76,45699.22,24990.54,35.35
44,2022-09-22,F 2022,Sales Invoice,SI103218,10000,C0001,BM,1964-S,Guest Section 1,MISC,,8,163907.05,1311256.4,761737.6,549518.8,41.91
45,2022-07-14,F 2022,Sales Invoice,SI103219,10000,C0032,BM,1920-S,LUANDA Conference Table,TABLE,MBA,12,208560.03,2502720.36,1732702.56,770017.8,30.77
46,2022-07-14,F 2022,Sales Invoice,SI103219,20000,C0032,BM,1896-S,ADDIS ABABA Executive Desk,BENCH,,3,165716.45,497149.35,395745.42,101403.93,20.4
47,2022-07-14,F 2022,Sales Invoice,SI103219,30000,C0032,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,11,27562.38,303186.18,181347.65,121838.53,40.19
48,2022-07-14,F 2022,Sales Invoice,SI103219,40000,C0032,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,8,21599.91,172799.28,130581.52,42217.76,24.43
49,2022-03-13,F 2022,Sales Invoice,SI103220,10000,C0001,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,,3,220420.65,661261.95,386683.17,274578.78,41.52
50,2022-07-05,F 2022,Sales Invoice,SI103221,10000,C0001,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,MBA,10,218875.25,2188752.5,1390831.5,797921.0,36.46
51,2022-07-05,F 2022,Sales Invoice,SI103221,20000,C0001,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,KSM,8,134898.62,1079188.96,918192.64,160996.32,14.92
52,2022-07-05,F 2022,Sales Invoice,SI103221,30000,C0001,AO,1964-S,Guest Section 1,MISC,NBI,7,149420.05,1045940.35,670900.44,375039.91,35.86
53,2022-07-05,F 2022,Sales Invoice,SI103221,40000,C0001,AO,1968-S,OSLO Filing Cabinet,MISC,,8,33769.88,270159.04,202630.88,67528.16,25.0
54,2022-03-22,F 2022,Sales Invoice,SI103222,10000,C0023,BM,1956-S,Conference Bundle 1-6,MISC,MBA,3,312157.9,936473.7,723492.6,212981.1,22.74
55,2022-03-22,F 2022,Sales Invoice,SI103222,20000,C0023,BM,1920-S,LUANDA Conference Table,TABLE,,11,236935.73,2606293.03,1976087.96,630205.07,24.18
56,2022-03-22,F 2022,Sales Invoice,SI103222,30000,C0023,BM,1900-S,CAIRO Writing Desk,BENCH,,1,127571.52,127571.52,72627.43,54944.09,43.07
57,2022-03-22,F 2022,Sales Invoice,SI103223,10000,C0005,CM,1956-S,Conference Bundle 1-6,MISC,KSM,5,357348.08,1786740.4,1130523.65,656216.75,36.73
58,2022-03-22,F 2022,Sales Invoice,SI103223,20000,C0005,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,MBA,6,25901.26,155407.56,99309.9,56097.66,36.1
59,2022-03-22,F 2022,Sales Invoice,SI103223,30000,C0005,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,1,21340.95,21340.95,15706.89,5634.06,26.4
60,2021-12-18,F 2022,Sales Invoice,SI103224,10000,C0005,AO,1976-S,LONDON Bookcase,MISC,,8,52022.53,416180.24,249337.36,166842.88,40.09
61,2022-08-07,F 2022,Sales Invoice,SI103225,10000,C0018,CM,1980-S,"KISUMU Swivel Chair, red",CHAIR,,5,32498.04,162490.2,100945.1,61545.1,37.88
62,2022-08-07,F 2022,Sales Invoice,SI103225,20000,C0018,CM,1928-S,DAKAR Meeting Table,TABLE,,7,158293.38,1108053.66,683946.41,424107.25,38.27
63,2022-08-07,F 2022,Sales Invoice,SI103225,30000,C0018,CM,1936-S,ACCRA Round Table,TABLE,,11,84168.68,925855.48,711164.63,214690.85,23.19
64,2022-09-16,F 2022,Sales Invoice,SI103226,10000,C0002,BM,1952-S,"ABUJA Whiteboard, base",MISC,,6,45390.65,272343.9,241553.4,30790.5,11.31
65,2022-09-16,F 2022,Sales Invoice,SI103226,20000,C0002,BM,1928-S,DAKAR Meeting Table,TABLE,,1,163016.89,163016.89,104721.17,58295.72,35.76
66,2022-09-16,F 2022,Sales Invoice,SI103226,30000,C0002,BM,1984-S,MADRID Monitor Stand,MISC,,11,11417.76,125595.36,80630.0,44965.36,35.8
67,2022-09-16,F 2022,Sales Invoice,SI103226,40000,C0002,BM,1980-S,"KISUMU Swivel Chair, red",CHAIR,NBI,9,33622.42,302601.78,199308.24,103293.54,34.14
68,2022-09-16,F 2022,Sales Invoice,SI103226,50000,C0002,BM,1908-S,DUBAI Corner Desk,BENCH,,8,114174.53,913396.24,705619.52,207776.72,22.75
69,2022-09-16,F 2022,Sales Invoice,SI103226,60000,C0002,BM,2004-S,"LAGOS Executive Chair, grey",CHAIR,MBA,4,30985.82,123943.28,102004.28,21939.0,17.7
70,2022-02-02,F 2022,Sales Invoice,SI103227,10000,C0010,BM,2004-S,"LAGOS Executive Chair, grey",CHAIR,,8,39146.75,313174.0,174876.24,138297.76,44.16
71,2022-02-02,F 2022,Sales Invoice,SI103227,20000,C0010,BM,1952-S,"ABUJA Whiteboard, base",MISC,MBA,6,53362.69,320176.14,221617.68,98558.46,30.78
72,2022-02-02,F 2022,Sales Invoice,SI103227,30000,C0010,BM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,KSM,9,148120.05,1333080.45,1068685.65,264394.8,19.83
73,2022-06-08,F 2022,Sales Invoice,SI103228,10000,C0003,BM,1936-S,ACCRA Round Table,TABLE,,8,97973.92,783791.36,502649.04,281142.32,35.87
74,2022-06-08,F 2022,Sales Invoice,SI103228,20000,C0003,BM,1936-S,ACCRA Round Table,TABLE,,5,101768.8,508844.0,356124.4,152719.6,30.01
75,2022-03-26,F 2022,Sales Invoice,SI103229,10000,C0018,AO,1936-S,ACCRA Round Table,TABLE,KSM,5,90721.61,453608.05,322249.0,131359.05,28.96
76,2022-03-26,F 2022,Sales Invoice,SI103229,20000,C0018,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,12,41833.17,501998.04,298359.6,203638.44,40.57
77,2022-01-19,F 2022,Sales Invoice,SI103230,10000,C0003,BM,1952-S,"ABUJA Whiteboard, base",MISC,,10,52712.37,527123.7,366539.6,160584.1,30.46
78,2022-01-19,F 2022,Sales Invoice,SI103230,20000,C0003,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,3,22070.3,66210.9,47069.94,19140.96,28.91
79,2022-01-19,F 2022,Sales Invoice,SI103230,30000,C0003,BM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,1,21635.29,21635.29,15522.15,6113.14,28.26
80,2022-06-09,F 2022,Sales Invoice,SI103231,10000,C0001,AO,1900-S,CAIRO Writing Desk,BENCH,MBA,6,103705.04,622230.24,430977.72,191252.52,30.74
81,2022-06-02,F 2022,Sales Invoice,SI103232,10000,C0001,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,11,138001.58,1518017.38,1236726.15,281291.23,18.53
82,2022-06-02,F 2022,Sales Invoice,SI103232,20000,C0001,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,4,32857.05,131428.2,105340.88,26087.32,19.85
83,2022-08-13,F 2022,Sales Invoice,SI103233,10000,C0007,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,10,211998.1,2119981.0,1148167.4,971813.6,45.84
84,2022-08-13,F 2022,Sales Invoice,SI103233,20000,C0007,AO,1920-S,LUANDA Conference Table,TABLE,,12,220064.34,2640772.08,2022838.32,617933.76,23.4
85,2022-02-13,F 2022,Sales Invoice,SI103234,10000,C0002,BM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,1,24858.85,24858.85,16867.46,7991.39,32.15
86,2021-10-17,F 2022,Sales Invoice,SI103235,10000,C0016,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,NBI,11,216680.58,2383486.38,1432006.84,951479.54,39.92
87,2021-10-17,F 2022,Sales Invoice,SI103235,20000,C0016,AO,1920-S,LUANDA Conference Table,TABLE,KSM,4,238417.6,953670.4,692264.0,261406.4,27.41
88,2021-10-17,F 2022,Sales Invoice,SI103235,30000,C0016,AO,1968-S,OSLO Filing Cabinet,MISC,,3,40193.06,120579.18,68038.83,52540.35,43.57
89,2022-07-19,F 2022,Sales Invoice,SI103236,10000,C0006,CM,2004-S,"LAGOS Executive Chair, grey",CHAIR,,7,31310.54,219173.78,165219.95,53953.83,24.62
90,2022-07-19,F 2022,Sales Invoice,SI103236,20000,C0006,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,1,26724.09,26724.09,18353.59,8370.5,31.32
91,2021-10-14,F 2022,Sales Invoice,SI103237,10000,C0033,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,1,172314.01,172314.01,113535.22,58778.79,34.11
92,2021-10-14,F 2022,Sales Invoice,SI103237,20000,C0033,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,MBA,3,26432.43,79297.29,41205.09,38092.2,48.04
93,2021-10-14,F 2022,Sales Invoice,SI103237,30000,C0033,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,NAK,10,28994.52,289945.2,192286.5,97658.7,33.68
94,2021-10-14,F 2022,Sales Invoice,SI103237,40000,C0033,AO,1900-S,CAIRO Writing Desk,BENCH,NBI,7,127047.42,889331.94,506486.19,382845.75,43.05
95,2022-03-18,F 2022,Sales Invoice,SI103238,10000,C0006,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,9,170687.79,1536190.11,1137792.69,398397.42,25.93
96,2022-03-18,F 2022,Sales Invoice,SI103238,20000,C0006,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,7,26708.97,186962.79,122617.18,64345.61,34.42
97,2022-03-18,F 2022,Sales Invoice,SI103238,30000,C0006,AO,1964-S,Guest Section 1,MISC,,8,129608.62,1036868.96,837203.68,199665.28,19.26
98,2022-06-13,F 2022,Sales Invoice,SI103239,10000,C0020,BM,1908-S,DUBAI Corner Desk,BENCH,,5,129510.31,647551.55,480875.25,166676.3,25.74
99,2022-08-19,F 2022,Sales Invoice,SI103240,10000,C0003,BM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,NBI,9,162993.96,1466945.64,875190.51,591755.13,40.34
100,2021-11-28,F 2022,Sales Invoice,SI103241,10000,C0001,AO,1900-S,CAIRO Writing Desk,BENCH,,12,132133.48,1585601.76,998517.48,587084.28,37.03
101,2021-11-28,F 2022,Sales Invoice,SI103241,20000,C0001,AO,1900-S,CAIRO Writing Desk,BENCH,,8,131014.1,1048112.8,679034.08,369078.72,35.21
102,2021-11-28,F 2022,Sales Invoice,SI103241,30000,C0001,AO,1976-S,LONDON Bookcase,MISC,,9,55938.44,503445.96,281493.9,221952.06,44.09
103,2021-11-28,F 2022,Sales Invoice,SI103241,40000,C0001,AO,1952-S,"ABUJA Whiteboard, base",MISC,,7,53543.86,374807.02,237947.01,136860.01,36.51
104,2021-10-02,F 2022,Sales Invoice,SI103242,10000,C0003,AO,PART-2,Desk Leg Leveller Kit,PARTS,,8,667.99,5343.92,2002.72,3341.2,62.52
105,2021-10-02,F 2022,Sales Invoice,SI103242,20000,C0003,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,NBI,9,34614.67,311532.03,241158.42,70373.61,22.59
106,2021-10-02,F 2022,Sales Invoice,SI103242,30000,C0003,AO,EM-001,Executive Meeting Room Set,EM_COMMER,KSM,4,698450.17,2793800.68,2179080.96,614719.72,22.0
107,2021-10-23,F 2022,Sales Invoice,SI103243,10000,C0005,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,187028.57,2057314.27,1381982.69,675331.58,32.83
108,2021-10-23,F 2022,Sales Invoice,SI103243,20000,C0005,AO,1984-S,MADRID Monitor Stand,MISC,NBI,3,13990.98,41972.94,27524.97,14447.97,34.42
109,2021-10-23,F 2022,Sales Invoice,SI103243,30000,C0005,AO,1964-S,Guest Section 1,MISC,,8,143643.09,1149144.72,799837.68,349307.04,30.4
110,2021-10-23,F 2022,Sales Invoice,SI103243,40000,C0005,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,NBI,11,26581.95,292401.45,209266.2,83135.25,28.43
111,2021-10-23,F 2022,Sales Invoice,SI103243,50000,C0005,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,NBI,10,46202.13,462021.3,280225.9,181795.4,39.35
112,2022-09-11,F 2022,Sales Invoice,SI103244,10000,C0005,CM,1936-S,ACCRA Round Table,TABLE,,8,101863.52,814908.16,572137.6,242770.56,29.79
113,2022-09-11,F 2022,Sales Invoice,SI103244,20000,C0005,CM,1920-S,LUANDA Conference Table,TABLE,,5,205920.9,1029604.5,826364.1,203240.4,19.74
114,2021-11-20,F 2022,Sales Invoice,SI103245,10000,C0017,CM,1980-S,"KISUMU Swivel Chair, red",CHAIR,NBI,5,29970.25,149851.25,108465.3,41385.95,27.62
115,2022-02-28,F 2022,Sales Invoice,SI103246,10000,C0005,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,168665.17,1855316.87,1563706.43,291610.44,15.72
116,2022-04-14,F 2022,Sales Invoice,SI103247,10000,C0003,BM,1980-S,"KISUMU Swivel Chair, red",CHAIR,KSM,8,25854.89,206839.12,147935.68,58903.44,28.48
117,2022-04-14,F 2022,Sales Invoice,SI103247,20000,C0003,BM,1968-S,OSLO Filing Cabinet,MISC,,8,37669.02,301352.16,204242.0,97110.16,32.22
118,2022-04-14,F 2022,Sales Invoice,SI103247,30000,C0003,BM,1896-S,ADDIS ABABA Executive Desk,BENCH,NAK,6,173464.43,1040786.58,697937.52,342849.06,32.94
119,2022-04-14,F 2022,Sales Invoice,SI103247,40000,C0003,BM,1936-S,ACCRA Round Table,TABLE,,8,113235.69,905885.52,507109.52,398776.0,44.02
120,2022-04-14,F 2022,Sales Invoice,SI103247,50000,C0003,BM,1900-S,CAIRO Writing Desk,BENCH,,4,117173.43,468693.72,316824.68,151869.04,32.4
121,2022-09-24,F 2022,Sales Invoice,SI103248,10000,C0034,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,NAK,10,39039.6,390396.0,280522.4,109873.6,28.14
122,2022-09-24,F 2022,Sales Invoice,SI103248,20000,C0034,AO,1968-S,OSLO Filing Cabinet,MISC,,12,36810.66,441727.92,324672.84,117055.08,26.5
123,2022-09-24,F 2022,Sales Invoice,SI103248,30000,C0034,AO,1952-S,"ABUJA Whiteboard, base",MISC,,10,48622.49,486224.9,383938.4,102286.5,21.04
124,2022-02-06,F 2022,Sales Invoice,SI103249,10000,C0018,BM,1956-S,Conference Bundle 1-6,MISC,,11,326925.76,3596183.36,2627594.31,968589.05,26.93
125,2022-02-06,F 2022,Sales Invoice,SI103249,20000,C0018,BM,1952-S,"ABUJA Whiteboard, base",MISC,,1,56797.86,56797.86,34747.97,22049.89,38.82
126,2022-02-06,F 2022,Sales Invoice,SI103249,30000,C0018,BM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,NBI,12,37696.37,452356.44,349947.72,102408.72,22.64
127,2022-04-06,F 2022,Sales Invoice,SI103250,10000,C0030,BM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,NBI,8,34520.6,276164.8,217797.44,58367.36,21.13
128,2022-04-06,F 2022,Sales Invoice,SI103250,20000,C0030,BM,1952-S,"ABUJA Whiteboard, base",MISC,NAK,8,62512.97,500103.76,326766.4,173337.36,34.66
129,2022-04-06,F 2022,Sales Invoice,SI103250,30000,C0030,BM,1964-S,Guest Section 1,MISC,NBI,12,121510.47,1458125.64,1061519.04,396606.6,27.2
130,2022-04-06,F 2022,Sales Invoice,SI103250,40000,C0030,BM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,2,148127.55,296255.1,240668.14,55586.96,18.76
131,2022-05-21,F 2022,Sales Invoice,SI103251,10000,C0019,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,213308.13,2346389.43,1536162.98,810226.45,34.53
132,2021-10-13,F 2022,Sales Invoice,SI103252,10000,C0032,BM,1920-S,LUANDA Conference Table,TABLE,MBA,11,230350.71,2533857.81,1635625.2,898232.61,35.45
133,2021-10-13,F 2022,Sales Invoice,SI103252,20000,C0032,BM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,7,44442.87,311100.09,201903.52,109196.57,35.1
134,2022-06-10,F 2022,Sales Invoice,SI103253,10000,C0002,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,MBA,6,196696.63,1180179.78,857806.8,322372.98,27.32
135,2022-06-10,F 2022,Sales Invoice,SI103253,20000,C0002,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,KSM,12,199306.88,2391682.56,1354563.96,1037118.6,43.36
136,2022-06-08,F 2022,Sales Invoice,SI103254,10000,C0032,BM,1936-S,ACCRA Round Table,TABLE,NBI,4,110844.79,443379.16,256999.76,186379.4,42.04
137,2021-11-20,F 2022,Sales Invoice,SI103255,10000,C0004,CM,1928-S,DAKAR Meeting Table,TABLE,,1,152855.31,152855.31,107218.29,45637.02,29.86
138,2021-11-20,F 2022,Sales Invoice,SI103255,20000,C0004,CM,1964-S,Guest Section 1,MISC,KSM,8,124309.93,994479.44,689854.16,304625.28,30.63
139,2021-11-20,F 2022,Sales Invoice,SI103255,30000,C0004,CM,CM-001,Commercial Reception Desk,CM_COMMER,,1,364752.61,364752.61,283576.63,81175.98,22.26
140,2021-11-20,F 2022,Sales Invoice,SI103255,40000,C0004,CM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,2,148500.24,297000.48,223484.7,73515.78,24.75
141,2021-11-20,F 2022,Sales Invoice,SI103255,50000,C0004,CM,1956-S,Conference Bundle 1-6,MISC,MBA,4,382557.83,1530231.32,910286.08,619945.24,40.51
142,2021-10-02,F 2022,Sales Invoice,SI103256,10000,C0034,AO,1908-S,DUBAI Corner Desk,BENCH,,3,137708.81,413126.43,250461.06,162665.37,39.37
143,2021-10-02,F 2022,Sales Invoice,SI103256,20000,C0034,AO,2008-S,"ACCRA Stacking Chair, blue",CHAIR,,4,12640.19,50560.76,35990.8,14569.96,28.82
144,2021-10-02,F 2022,Sales Invoice,SI103256,30000,C0034,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,7,30488.78,213421.46,116828.67,96592.79,45.26
145,2021-10-02,F 2022,Sales Invoice,SI103256,40000,C0034,AO,1952-S,"ABUJA Whiteboard, base",MISC,,9,52458.34,472125.06,310893.48,161231.58,34.15
146,2021-10-02,F 2022,Sales Invoice,SI103256,50000,C0034,AO,1920-S,LUANDA Conference Table,TABLE,,12,201727.31,2420727.72,2070493.44,350234.28,14.47
147,2021-10-02,F 2022,Sales Invoice,SI103256,60000,C0034,AO,1900-S,CAIRO Writing Desk,BENCH,,1,118747.71,118747.71,72600.93,46146.78,38.86
148,2022-09-17,F 2022,Sales Invoice,SI103257,10000,C0016,AO,1968-S,OSLO Filing Cabinet,MISC,,6,39405.82,236434.92,148823.28,87611.64,37.06
149,2022-09-17,F 2022,Sales Invoice,SI103257,20000,C0016,AO,1920-S,LUANDA Conference Table,TABLE,,9,234899.39,2114094.51,1286423.64,827670.87,39.15
150,2022-02-28,F 2022,Sales Invoice,SI103258,10000,C0010,AO,1936-S,ACCRA Round Table,TABLE,KSM,11,86608.22,952690.42,810769.52,141920.9,14.9
151,2022-01-19,F 2022,Sales Invoice,SI103259,10000,C0028,AO,1956-S,Conference Bundle 1-6,MISC,,7,404200.34,2829402.38,1733764.97,1095637.41,38.72
152,2022-01-19,F 2022,Sales Invoice,SI103259,20000,C0028,AO,1928-S,DAKAR Meeting Table,TABLE,,6,160934.54,965607.24,593524.92,372082.32,38.53
153,2021-11-16,F 2022,Sales Invoice,SI103260,10000,C0001,CM,1944-S,HARARE Folding Table,TABLE,,3,39100.89,117302.67,80586.93,36715.74,31.3
154,2022-03-18,F 2022,Sales Invoice,SI103261,10000,C0005,BM,1976-S,LONDON Bookcase,MISC,NAK,7,47110.4,329772.8,260789.83,68982.97,20.92
